URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-empfehlung-evidenzgrad-zusatzverweis,2026.0.1,active,,MII_VS_MTB_Empfehlung_EvidenzgradZusatzverweis,MII VS Empfehlung Evidenzgrad Zusatzverweis,"ValueSet für den Zusatzverweis zum Evidenzgrad einer Empfehlung",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-empfehlung-status-begruendung,2026.0.1,active,,MII_VS_MTB_Empfehlung_StatusBegruendung,MII VS Empfehlung Status Begründung,"ValueSet für Begründung bei fehlender Empfehlung im MTB-Beschluss",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-follow-up-grund-nicht-umsetzung,2026.0.1,active,,MII_VS_MTB_Follow_Up_Grund_Nicht_Umsetzung,MII VS Follow-Up Grund Nicht-Umsetzung,"ValueSet zum Follow-Up Grund Nicht-Umsetzung des Therapieplans. Abgeleitet von mii-cs-mtb-systemische-therapie-status-grund","StructureDefinition/mii-pr-mtb-follow-up-clinicalimpression","Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-follow-up-status,2026.0.1,active,,MII_VS_MTB_Follow_Up_Status,MII VS Follow-Up Status,"ValueSet zum Follow-Up Status","StructureDefinition/mii-pr-mtb-follow-up-clinicalimpression","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-genomic-analysis-method-type,2026.0.1,active,,MII_VS_MTB_Genomic_Analysis_Method_Type,MII VS Genomic Analysis Method Type,"ValueSet, dass die ursprünglich vom HL7 Clinical Genomics vorgeschlagenen Antwortmöglichkeiten für Genomic Study Analysis Method Type mit dem vom dnpm dekalrierten Antwortspektrum vereint","StructureDefinition/mii-pr-mtb-genomic-study-analysis","hl7.fhir.uv.genomics-reporting,Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-immunohistochemistry-specific-codes,2026.0.1,active,,MII_VS_MTB_Immunhistochemistry_Specific_Codes,MII VS MTB Immunhistochemistry Specific Codes,"Spezifische LOINC und SNOMED Codes für immunhistochemische Untersuchungen. Diese Codes werden für das Slice 'spezifisch' im Immunohistochemistry Profil verwendet.",,"SCT,LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-interpretation-high-low,2026.0.1,active,,MII_VS_MTB_Interpretation_High_Low,MII VS MTB Interpretation High/Low,"Interpretation qualitativer Biomarker-Ergebnisse als hoch/niedrig (High/Low aus HL7 v3 ObservationInterpretation). Ersetzt das in Genomics Reporting STU3 entfallene high-low-codes-vs (STU2).","StructureDefinition/mii-pr-mtb-hrd-score,StructureDefinition/mii-pr-mtb-ploidie,StructureDefinition/mii-pr-mtb-brcaness,StructureDefinition/mii-pr-mtb-mutationslast","THO (V3)"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-ish-method,2026.0.1,active,,MII_VS_MTB_ISH_Method,MII VS MTB ISH Method,"In Situ Hybridization technique methods (FISH, CISH, SISH)","StructureDefinition/mii-pr-mtb-insituhybridization-her2,StructureDefinition/mii-pr-mtb-insituhybridization","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-leitlinienbehandlung-status,2026.0.1,active,,MII_VS_MTB_Leitlinienbehandlung_Status,MII VS Leitlinienbehandlung Status,"ValueSet zum Status der Behandlung nach Leitlinie","StructureDefinition/mii-ex-mtb-leitlinienbehandlung-status","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-mmr-expression,2026.0.1,active,,MII_VS_MTB_MMR_Expression,MII VS Mismatch Repair Proteins Expression,"ValueSet zum MMR-Protein-Expression auf Basis von Immunhistochemie, basierend auf der LOINC-AnswerList LL3993-4 Intact nuc express|Loss of nuc express|Undet","StructureDefinition/mii-pr-mtb-immunohistochemistry-mmr","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-mmr-proficiency,2026.0.1,active,,MII_VS_MTB_MMR_Proficiency,MII VS Mismatch Repair Protein Proficiency,"ValueSet zum MMR-Protein-Proficiency auf Basis von Immunhistochemie","StructureDefinition/mii-pr-mtb-immunohistochemistry-mmr","Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-molekulare-biomarker,2026.0.1,active,,MII_VS_MTB_Molekulare_Biomarker,MII VS Molekulare Biomarker,"ValueSet zum CS Molekulare Biomarker","StructureDefinition/mii-pr-mtb-hrd-score,StructureDefinition/mii-pr-mtb-mikrosatelliteninstabilitaet,StructureDefinition/mii-pr-mtb-ploidie,StructureDefinition/mii-pr-mtb-brcaness,StructureDefinition/mii-pr-mtb-immunohistochemistry-phosphorylation,StructureDefinition/mii-pr-mtb-immunohistochemistry-pdl1,StructureDefinition/mii-pr-mtb-mutationslast,StructureDefinition/mii-pr-mtb-immunohistochemistry,StructureDefinition/mii-pr-mtb-immunohistochemistry-her2,StructureDefinition/mii-pr-mtb-insituhybridization-her2,StructureDefinition/mii-pr-mtb-immunohistochemistry-mmr,StructureDefinition/mii-pr-mtb-insituhybridization,StructureDefinition/mii-pr-mtb-biomarker-her2-status,StructureDefinition/mii-pr-mtb-molekularer-biomarker","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-msi,2026.0.1,active,,MII_VS_MTB_Microsatellite_Instability,MII VS Mikrosatelliteninstabilität,"ValueSet zum MSI-Status auf Basis von Immunhistochemie, basierend auf der LOINC-AnswerList LL1057-0 Stable|Unstable|Indeterminate","StructureDefinition/mii-pr-mtb-mikrosatelliteninstabilitaet","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-msi-method-type,2026.0.1,active,,MII_VS_MTB_MSI_Method_Type,MII VS MSI Method Type,"ValueSet zum CS MSI Method Type","StructureDefinition/mii-pr-mtb-mikrosatelliteninstabilitaet","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-oncotree,2026.0.1,active,,MII_VS_MTB_OncoTree,MII VS OncoTree ValueSet,"ValueSet der MSKCC OncoTree Klassifikationen",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-archer-lung-v2,2026.0.1,active,,MII_VS_MTB_Panel_ArcherLungV2,MII VS MTB Panel Archer,"Genliste des Panels: FusionPlex Archer Lung V2 (17 Gene, Fusionsanalyse). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-basic-ngs,2026.0.1,active,,MII_VS_MTB_Panel_BasicNgs,MII VS MTB Panel Basic-NGS,"Genliste des Panels: Basic-NGS Panel (36 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-capability,2026.0.1,active,,MII_VS_MTB_Panel_Capability,MII VS MTB Panel Capability,"Analytische Faehigkeiten eines Sequenzier-Panels.","StructureDefinition/mii-ex-mtb-panel-gene-list,StructureDefinition/mii-pr-mtb-panel-devicedefinition","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-cgp,2026.0.1,active,,MII_VS_MTB_Panel_Cgp,MII VS MTB Panel CGP,"Genliste des Panels: SureSelect Cancer CGP Assay (602 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-dhs-3501z,2026.0.1,active,,MII_VS_MTB_Panel_Dhs3501z,MII VS MTB Panel DHS-3501Z,"Genliste des Panels: Qiagen DHS-3501Z (275 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-ofa,2026.0.1,active,,MII_VS_MTB_Panel_Ofa,MII VS MTB Panel OFA,"Genliste des Panels: Oncomine Focus Assay (52 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-ofa-plus,2026.0.1,active,,MII_VS_MTB_Panel_OfaPlus,MII VS MTB Panel OFA plus,"Genliste des Panels: Oncomine Focus Assay Plus (517 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-tcm-ngs,2026.0.1,active,,MII_VS_MTB_Panel_TcmNgs,MII VS MTB Panel TCM NGS,"Genliste des Panels: TCM NGS Panel (409 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-tso-500-fusion,2026.0.1,active,,MII_VS_MTB_Panel_Tso500Fusion,MII VS MTB Panel TSO 500 Fusions,"Genliste des Panels: TruSight Oncology 500 — Fusions-Genliste (55 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-panel-tso-500-snv,2026.0.1,active,,MII_VS_MTB_Panel_Tso500Snv,MII VS MTB Panel TSO 500 SNVs,"Genliste des Panels: TruSight Oncology 500 — SNV-Genliste (523 Gene). Kodiert mit stabilen HGNC-IDs (System genenames.org/geneId), Displays = aktuelle HGNC-Symbole.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-response-befund-beurteilung,2026.0.1,active,,MII_VS_MTB_Response_Befund_Beurteilung,MII VS Response Befund Beurteilung,"ValueSet Response Befund Beurteilung","StructureDefinition/mii-pr-mtb-response-befund","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-response-befund-beurteilungsmethode,2026.0.1,active,,MII_VS_MTB_Beurteilungsmethode,MII VS Response Befund Beurteilung,"ValueSet Beurteilungsmethode eines Response Befunds","StructureDefinition/mii-pr-mtb-response-befund","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-systemische-therapie-status,2026.0.1,active,,MII_VS_MTB_Systemische_Therapie_Status,MII VS MTB Systemtherapie Status,"Einschränkung der Status für Systemtherapie","StructureDefinition/mii-pr-mtb-systemische-therapie","hl7.fhir.r4.core"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-therapiestatusgrund,2026.0.1,active,,MII_VS_MTB_Therapiestatusgrund,MII VS Therapiestatusgrund,"ValueSet zum Therapiestatusgrund","ConceptMap/mii-cm-mtb-therapiestatusgrund-obds,StructureDefinition/mii-pr-mtb-systemische-vortherapie,StructureDefinition/mii-pr-mtb-systemische-therapie,ConceptMap/mii-cm-mtb-therapiestatusgrund-sct","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-tumorausbreitung,2026.0.1,active,,MII_VS_MTB_Tumorausbreitung,MII VS Tumorausbreitung,"ValueSet zur Angabe der Tumorausbreitung","StructureDefinition/mii-pr-mtb-tumorausbreitung","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-who-grad-tumor-zns,2026.0.1,active,,MII_VS_MTB_WHO_Grad_Tumor_ZNS,MII VS WHO Grad Tumor ZNS,"ValueSet zum Grad eines Tumors nach WHO-Klassifikation der Tumoren des zentralen Nervensystems","StructureDefinition/mii-pr-mtb-who-grad-tumor-zns","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/ValueSet/mii-vs-mtb-zulassungsstatus,2026.0.1,active,,MII_VS_MTB_Zulassungsstatus,MII VS Zulassungsstatus,"ValueSet zum Zulassungsstatus","StructureDefinition/mii-ex-mtb-leitlinie-dokumentation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-verlauf-gesamtbeurteilung,2027.0.0-ballot.1,active,,MII_VS_Onko_Verlauf_Gesamtbeurteilung,MII VS Onkologie Verlauf Gesamtbeurteilung,"oBDS-spezifisches ValueSet für die Gesamtbeurteilung im Behandlungsverlauf","StructureDefinition/mii-pr-mtb-response-befund","de.medizininformatikinitiative.kerndatensatz.onkologie"
